,Name,shd,train_time,seed,epoch,Runtime,Hostname,d,model,State,Notes,User,Tags,Created,Sweep,adapt_to_n,batch_size,model_kwargs.dim_hidden,model_kwargs.num_layers,model_kwargs.power_iteration_n_steps,n,number_of_samples,p,s,stage1_kwargs.alpha,stage1_kwargs.batch_size,stage1_kwargs.beta,stage1_kwargs.gamma_increment,stage1_kwargs.learning_rate,stage1_kwargs.mask_threshold,stage1_kwargs.n_epochs,stage1_kwargs.n_epochs_check,stage2_kwargs.alpha,stage2_kwargs.batch_size,stage2_kwargs.beta,stage2_kwargs.dag_penalty_flavor,stage2_kwargs.freeze_gamma_at_dag,stage2_kwargs.freeze_gamma_threshold,stage2_kwargs.gamma_increment,stage2_kwargs.gamma_schedule,stage2_kwargs.learning_rate,stage2_kwargs.n_epochs,stage2_kwargs.n_epochs_check,stage2_kwargs.threshold,num_modules,constraint_mode,hid_dim,lr_init,nonlin,num_layers,num_vars,reg_coeff,alpha,dag,epoch_loss,gamma,is_prescreen,l1,l2,n_edges_pred,n_edges_pred_double_th,n_edges_pred_half_th,nll,precision,precision_double_th,precision_half_th,recall,recall_double_th,recall_half_th,score,score_double_th,score_half_th,shd_double_th,shd_half_th,validation_loss,Aug_lag/gamma,Aug_lag/mu,Monitor/checkup,Train/aug_lagrangian,Train/nll,Train/not_nll,Val/acyclic,Val/aug_lagrangian,Val/constraint_violation,Val/nll,Val/not_nll,Val/reg_value,fraction_edges_mask,h_val,inner_iter,lr,mu,recall_mask,trainer/global_step,Monitor/stationary,w_threshold
35,DCDI,29.0,313.52880668640137,1,773.0,325,yolanda,10,DCDI,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,exp,16.0,0.001,,2.0,10.0,0.1,,,,,,,,22.0,,,,0.5909090909090909,,,0.325,,,36.0,,,,,,17004.537109375,45035996.0,388.0,0.014708356000483,-0.0081035075709223,0.0228118635714054,1.0,0.0385742597281932,5.748149334294794e-08,0.0157691203057765,0.0228051394224166,0.2182762324810028,,,,,,,48761.0,80.0,
36,DCDFG,25.0,230.9803900718689,1,519.0,243,yolanda,10,DCDFG,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,10.0,exp,16.0,0.001,leaky_relu,2.0,10.0,0.1,,,,,,,,38.0,,,,0.4736842105263157,,,0.45,,,42.0,,,,,,138.2761688232422,11258999.0,261.0,0.0231487415730953,0.0057915924116969,0.0173571482300758,,0.0333432480692863,9.5367431640625e-07,0.0159873105585575,0.0173559375107288,0.1721894592046737,,,,,,,32759.0,80.0,
37,DAGMA,27.0,8679.221903562546,1,,8689,yolanda,10,DAGMA,finished,-,achille,,2023-10-05T06:23:56.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,0.6842105263157895,,,0.325,,,33.0,,,,,,,,,,,,,,,,,,,5.35633511424e-05,46000.0,0.0002,0.0001,,,,
38,sortnregress,21.0,0.1639392375946045,0,,11,yolanda,10,Sortnregress,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,0.7,,,0.525,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,
39,SDCI-warm-nomask,14.0,536.5242187976837,0,3980.0,547,yolanda,10,SDCI-warm-nomask,finished,-,achille,,2023-10-11T14:05:49.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.4787340043112635,1.73437187820673,9.504752376188094,0.0,0.0525485383113846,2.1105756387114525,37.0,35.0,38.0,-4.979000359773636,0.7837837837837838,0.8285714285714286,0.7631578947368421,0.725,0.725,0.725,19.0,17.0,20.0,13.0,14.0,-40.54537343978882,,,,,,,,,,,,,0.9,,,,,1.0,,,
40,SDCI-warm,10.0,485.34871768951416,0,3980.0,510,yolanda,10,SDCI-warm,finished,-,achille,,2023-10-11T13:58:12.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.4417550088837743,1.5700217485427856,9.504752376188094,0.0,0.0578784688841551,2.2811706364154816,35.0,34.0,37.0,-4.967799261212349,0.9142857142857144,0.9411764705882352,0.8648648648648649,0.8,0.8,0.8,11.0,10.0,13.0,10.0,10.0,-40.20414400100708,,,,,,,,,,,,,0.7,,,,,1.0,,,
41,SDCI-no-s1,14.0,281.7805926799774,0,1981.0,293,yolanda,10,SDCI,finished,-,achille,,2023-10-07T21:27:48.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,-1.0,0.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.4777723159641027,1.7477694004774094,9.504752376188094,0.0,0.0533189993584528,2.117909863591194,37.0,35.0,38.0,-4.964566946029663,0.7837837837837838,0.8285714285714286,0.7631578947368421,0.725,0.725,0.725,19.0,17.0,20.0,13.0,14.0,-40.54476308822632,,,,,,,,,,,,,0.9,,,,,1.0,,,
42,SDCI-no-s1-2,8.0,270.5128347873688,0,1981.0,295,yolanda,10,SDCI-no-s1-2,finished,-,achille,,2023-10-11T00:52:17.000Z,,,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,-1.0,0.0,100.0,0.01,256.0,0.0002,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.01,0.6459533963352442,0.2548084408044815,9.504752376188094,0.0,0.7076221872121096,0.3199615944176912,38.0,36.0,38.0,-6.912402302026749,0.9210526315789472,0.9166666666666666,0.9210526315789472,0.875,0.825,0.875,8.0,10.0,8.0,10.0,8.0,-55.56684732437134,,,,,,,,,,,,,0.9,,,,,1.0,,,
44,SDCI,10.0,522.011560678482,0,3980.0,532,yolanda,10,SDCI,finished,-,achille,,2023-10-05T06:23:16.000Z,,False,256.0,10.0,1.0,15.0,10000,8000.0,0.05,4,0.01,256.0,0.0002,0.0,0.002,0.2,2000.0,100.0,0.0005,256.0,0.005,power_iteration,True,0.01,0.005,linear,0.001,2000.0,100.0,0.1,,,,,,,,,0.0005,0.4378364272415638,1.4824781343340874,9.504752376188094,0.0,0.0552946380339562,2.2496217116713524,34.0,34.0,37.0,-4.983964949846268,0.9411764705882352,0.9411764705882352,0.8648648648648649,0.8,0.8,0.8,10.0,10.0,13.0,10.0,10.0,-40.55151700973511,,,,,,,,,,,,,0.7,,,,,1.0,,,
45,NOTEARS,35.0,22.00362753868103,0,,34,yolanda,10,NOTEARS,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,0.4545454545454546,,,0.125,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,9.536743164e-06
46,NOBEARS,36.0,34.93224763870239,0,,47,yolanda,10,NOBEARS,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,0.6666666666666666,,,0.15,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0624942779541015
47,GIES,32.0,0.6057231426239014,0,,13,yolanda,10,GIES,finished,-,achille,,2023-10-05T06:23:16.000Z,,,,,,,10000,,0.05,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,,,0.3777777777777777,,,0.425,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,
