"Name","d","s","intervention_frac","seed","shd","State","Notes","User","Tags","Created","Runtime","Sweep","batch_size","constraint_mode","hid_dim","lr_init","model","model_kwargs.dim_hidden","model_kwargs.num_layers","model_kwargs.power_iteration_n_steps","n","nonlin","num_layers","num_modules","num_vars","number_of_samples","p","reg_coeff","stage1_kwargs.alpha","stage1_kwargs.batch_size","stage1_kwargs.beta","stage1_kwargs.gamma_increment","stage1_kwargs.learning_rate","stage1_kwargs.mask_threshold","stage1_kwargs.n_epochs","stage1_kwargs.n_epochs_check","stage2_kwargs.alpha","stage2_kwargs.batch_size","stage2_kwargs.beta","stage2_kwargs.dag_penalty_flavor","stage2_kwargs.freeze_gamma_at_dag","stage2_kwargs.freeze_gamma_threshold","stage2_kwargs.gamma_increment","stage2_kwargs.gamma_schedule","stage2_kwargs.learning_rate","stage2_kwargs.n_epochs","stage2_kwargs.n_epochs_check","stage2_kwargs.threshold","Aug_lag/gamma","Aug_lag/mu","Monitor/checkup","Monitor/stationary","Train/aug_lagrangian","Train/nll","Train/not_nll","Val/acyclic","Val/aug_lagrangian","Val/constraint_violation","Val/nll","Val/not_nll","Val/reg_value","alpha","dag","epoch","epoch_loss","fraction_edges_mask","gamma","is_prescreen","l1","l2","n_edges_pred","n_edges_pred_double_th","n_edges_pred_half_th","nll","precision","precision_double_th","precision_half_th","recall","recall_double_th","recall_half_th","recall_mask","score","score_double_th","score_half_th","shd_double_th","shd_half_th","train_time","trainer/global_step","validation_loss"
"DCDI","40","6","0.75","5","193","finished","-","achille","","2023-10-10T10:13:08.000Z","5497","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","709841133479395300","5.575186265749623e+34","895","226","-0.24594290554523468","-0.27199941873550415","0.02605651319026947","1","-0.15338459610939026","0","-0.17944112420082092","0.026056528091430664","0.26056545972824097","","","1786","","","","","","","417","","","","0.5467625899280576","","","0.95","","","","201","","","","","5484.056127071381","280558",""
"SDCI","30","6","1","5","47","finished","-","achille","","2023-10-10T10:13:06.000Z","4296","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.922257329089732","3061","8.836601317683353","0.36777777777777776","9.504752376188094","0","0.32504987641225885","6.417700683014302","211","208","218","-6.671976602530178","0.8151658767772512","0.8173076923076923","0.7981651376146789","0.9555555555555556","0.9444444444444444","0.9666666666666668","0.9944444444444444","47","48","50","48","50","4281.48021030426","","-127.49167203903198"
"DCDI","40","8","0.75","5","186","finished","-","achille","","2023-10-10T10:11:44.000Z","3918","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","97521132285984770","3.4844914160935143e+33","742","215","-0.10941261798143388","-0.13896271586418152","0.02955009788274765","1","-0.028839904814958572","8.810593075086434e-23","-0.05838999152183533","0.029550086706876755","0.2954149842262268","","","1481","","","","","","","473","","","","0.6300211416490487","","","0.93125","","","","197","","","","","3903.7475004196167","232673",""
"DCDI","40","4","1","4","105","finished","-","achille","","2023-10-10T10:09:03.000Z","2788","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","11302558626742272","4.355614270116893e+32","656","238","-0.28504839539527893","-0.3011815845966339","0.01613318920135498","1","-0.2562103867530823","1.9207096664977223e-20","-0.272340327501297","0.01612994074821472","0.15912772715091705","","","1308","","","","","","","254","","","","0.5984251968503937","","","0.95","","","","110","","","","","2776.4613773822784","246091",""
"SDCI","30","6","1","4","58","finished","-","achille","","2023-10-10T10:08:32.000Z","4544","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.9264961232112932","3301","7.619047110593772","0.3488888888888889","9.504752376188094","0","0.30211224850220014","6.1699407915525795","201","196","211","-7.659122026419338","0.8009950248756219","0.8112244897959183","0.7772511848341233","0.8944444444444445","0.8833333333333333","0.9111111111111112","0.9666666666666668","59","58","63","57","62","4529.900480270386","","-151.89752864837646"
"SDCI","30","4","1","4","21","finished","-","achille","","2023-10-10T10:05:01.000Z","5359","","256","","","","SDCI","10","1","15","10000","","","","","20000","0.1","","0.01","256","0.0002","0","0.002","0.2","2000","100","0.0005","256","0.005","power_iteration","true","0.01","0.005","linear","0.001","2000","100","0.1","","","","","","","","","","","","","","0.0005","0.779354954822154","3980","8.21635636800452","0.23444444444444448","9.504752376188094","0","0.2735321170921567","6.107502050037626","131","127","132","-5.572253510921816","0.8702290076335878","0.889763779527559","0.8636363636363636","0.95","0.9416666666666668","0.95","0.9833333333333332","23","21","24","19","22","5343.593032121658","","-109.0417070388794"
"DCDI","40","2","1","5","29","finished","-","achille","","2023-10-10T10:00:50.000Z","2812","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","31901458001559550","2.1778071350584464e+32","591","218","0.03448936715722084","0.027737755328416824","0.006751611828804016","1","0.06661858409643173","2.158595461168358e-21","0.05986863374710083","0.006749950349330902","0.06681083887815475","","","1179","","","","","","","107","","","","0.7289719626168224","","","0.975","","","","31","","","","","2802.5027952194214","221839",""
"DCDI","40","6","1","4","92","finished","-","achille","","2023-10-10T09:59:42.000Z","3147","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","362573442546925600","2.787593132874811e+34","743","227","-0.190865695476532","-0.21111170947551727","0.02024601399898529","1","-0.15229134261608124","0","-0.1725373417139053","0.020245999097824097","0.20246011018753052","","","1483","","","","","","","324","","","","0.7222222222222222","","","0.975","","","","96","","","","","3137.7967598438263","278991",""
"DCDI","40","8","0.75","3","203","finished","-","achille","","2023-10-10T09:57:50.000Z","4506","","","exp","16","0.001","DCDI","","","","10000","","2","","40","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","21035542929997824","1.0889035675292232e+32","728","216","-0.08256331086158752","-0.11425429582595824","0.03169098496437073","1","-0.030817631632089615","1.995599238737035e-20","-0.06249867007136345","0.031681038439273834","0.3126123249530792","","","1453","","","","","","","500","","","","0.612","","","0.95625","","","","208","","","","","4490.368339300156","228277",""
"DCDI","30","2","0.75","4","23","finished","-","achille","","2023-10-10T09:53:15.000Z","5426","","","exp","16","0.001","DCDI","","","","10000","","2","","30","","0.1","0.1","","","","","","","","","","","","","","","","","","","","","1439549882368","8.112963792154366e+23","657","188","0.12986400723457336","0.1205485537648201","0.009315453469753264","1","0.1725662350654602","5.914155032505752e-16","0.1632668524980545","0.0092993825674057","0.08447857201099396","","","1311","","","","","","","76","","","","0.7236842105263158","","","0.9166666666666666","","","","26","","","","","5412.060247421265","177119",""
